brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Metis cloth crossbody bag,1745.21,1745.21,31.0,1,metis,Very good condition,Metis,Cloth,Brown,1.0,,1742.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,624.59,580.81,127.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Speedy Bandoulière cloth handbag,2546.62,2546.62,23.0,1,speedy,Never worn,Speedy Bandoulière,Cloth,Pink,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth handbag,884.61,879.25,12.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,NéoNoé cloth handbag,2132.94,1938.69,22.0,1,néonoé,Very good condition,NéoNoé,Leather,Brown,1.0,,1660.0
Louis Vuitton,Capucines leather handbag,3574.2,3574.2,30.0,1,capucines,Never worn,Capucines,Leather,Green,1.0,,3950.0
Louis Vuitton,Speedy Bandoulière leather handbag,4467.75,4467.75,7.0,1,speedy,Never worn,Speedy Bandoulière,Leather,Black,1.0,,1790.0
Louis Vuitton,Onthego cloth tote,3484.85,3306.14,19.0,1,onthego,Never worn,Onthego,Cloth,Pink,1.0,,2290.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,866.74,866.74,174.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Pink,1.0,,660.0
Louis Vuitton,NéoNoé cloth handbag,2437.65,2437.65,20.0,1,néonoé,Very good condition,NéoNoé,Cloth,Multicolour,1.0,,1660.0
Louis Vuitton,Speedy cloth handbag,1608.39,1608.39,12.0,1,speedy,Very good condition,Speedy,Cloth,Other,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1786.21,1474.36,16.0,1,speedy,Good condition,Speedy,Cloth,Blue,1.0,,1790.0
Louis Vuitton,Neverfull cloth handbag,1250.08,1250.08,25.0,1,neverfull,Good condition,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Speedy leather handbag,1697.75,1608.39,6.0,1,speedy,Never worn,Speedy,Leather,White,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1429.68,1331.39,17.0,1,speedy,Good condition,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1744.44,1737.03,15.0,1,speedy,Very good condition,Speedy,Cloth,Pink,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,5629.37,5629.37,11.0,1,speedy,Good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Speedy cloth tote,1072.26,1072.26,15.0,1,speedy,Good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Speedy Bandoulière leather crossbody bag,1333.09,1054.82,6.0,1,speedy,Good condition,Speedy Bandoulière,Leather,Burgundy,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1148.21,1108.0,23.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Onthego tote,3351.76,3351.76,63.0,1,onthego,Never worn,Onthego,Denim - Jeans,Blue,1.0,,2290.0
Louis Vuitton,Neverfull cloth handbag,2266.46,2266.46,21.0,1,neverfull,Very good condition,Neverfull,Cloth,Multicolour,1.0,,1510.0
Louis Vuitton,Alma cloth handbag,1340.33,1340.33,20.0,1,alma,Very good condition,Alma,Cloth,Multicolour,1.0,,1810.0
Louis Vuitton,Onthego cloth tote,3427.94,2741.59,52.0,1,onthego,Never worn,Onthego,Cloth,Brown,1.0,,2290.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1116.94,1116.94,58.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Speedy Bandoulière cloth handbag,2680.65,2233.88,35.0,1,speedy,Never worn,Speedy Bandoulière,Cloth,Multicolour,1.0,,1790.0
